 Cycle    Time        FAM         HEX        ROX         CY5
     1 2272629 465.136364  459.727273 236.363636  829.136364
     2 2380629 464.545455  459.363636 236.436364  829.854545
     3 2488629 463.954545  459.000000 236.509091  830.572727
     4 2596629 463.363636  458.636364 236.581818  831.290909
     5 2704629 462.772727  458.272727 236.654545  832.009091
     6 2812630 462.181818  457.909091 236.727273  832.727273
     7 2920629 461.818182  457.545455 236.727273  833.181818
     8 3028629 461.181818  457.272727 236.363636  833.181818
     9 3136629 460.818182  456.727273 236.272727  833.363636
    10 3244629 460.636364  456.363636 236.272727  833.363636
    11 3352629 460.090909  456.272727 236.181818  833.090909
    12 3460629 459.727273  455.727273 236.000000  833.181818
    13 3568629 459.818182  455.000000 236.000000  833.000000
    14 3676629 459.636364  454.636364 235.545455  832.636364
    15 3784629 459.000000  453.727273 235.181818  832.090909
    16 3892629 458.636364  453.454545 234.818182  831.818182
    17 4000636 458.272727  453.090909 234.636364  831.727273
    18 4108629 457.818182  453.000000 234.454545  831.818182
    19 4217629 457.818182  452.909091 234.363636  831.272727
    20 4325629 457.363636  453.454545 234.272727  831.000000
    21 4433629 457.181818  455.090909 233.909091  830.545455
    22 4542629 457.363636  458.818182 233.545455  830.545455
    23 4651629 457.454545  466.181818 233.454545  830.727273
    24 4759628 458.000000  478.181818 233.090909  831.000000
    25 4868629 459.090909  495.545455 233.090909  832.636364
    26 4977629 460.909091  519.727273 233.090909  836.272727
    27 5086629 463.181818  550.000000 233.181818  842.181818
    28 5195629 466.272727  586.727273 232.909091  850.636364
    29 5304629 470.545455  629.818182 232.818182  862.000000
    30 5413629 476.272727  679.181818 232.818182  877.181818
    31 5522636 484.000000  734.272727 232.818182  895.000000
    32 5631634 493.272727  793.727273 232.909091  916.181818
    33 5738635 504.454545  856.636364 233.000000  939.545455
    34 5847629 517.909091  921.454545 233.454545  965.454545
    35 5954629 532.636364  986.454545 233.727273  993.454545
    36 6061629 550.000000 1050.454545 233.909091 1022.727273
    37 6169639 569.454545 1112.272727 234.000000 1052.636364
    38 6276629 591.000000 1171.363636 233.909091 1082.454545
    39 6384630 614.454545 1227.727273 234.181818 1111.636364
    40 6492629 640.363636 1280.454545 234.545455 1139.818182
    41 6600629 666.936364 1331.590909 234.663636 1167.354545
    42 6708629 693.509091 1382.727273 234.781818 1194.890909
    43 6815629 720.081818 1433.863636 234.900000 1222.427273
    44 6923629 746.654545 1485.000000 235.018182 1249.963636
    45 7031629 773.227273 1536.136364 235.136364 1277.500000
