 Cycle    Time        FAM         HEX        ROX         CY5
     1 2272629 468.195804  460.041958 235.699301  827.230769
     2 2380629 465.769231  459.489510 236.170629  829.092308
     3 2488629 463.750583  458.979021 236.553380  830.699767
     4 2596629 462.139860  458.510490 236.847552  832.053147
     5 2704629 460.937063  458.083916 237.053147  833.152448
     6 2812630 460.142191  457.699301 237.170163  833.997669
     7 2920629 459.580420  457.242424 237.135198  834.557110
     8 3028629 459.958042  456.689977 237.377622  835.104895
     9 3136629 460.293706  456.832168 237.018648  834.925408
    10 3244629 460.636364  457.004662 236.377622  834.564103
    11 3352629 461.536131  456.575758 235.878788  834.233100
    12 3460629 461.988345  456.240093 235.545455  832.773893
    13 3568629 461.193473  455.885781 235.044289  831.648019
    14 3676629 460.055944  454.811189 235.347319  831.202797
    15 3784629 459.174825  454.461538 235.426573  831.403263
    16 3892629 457.913753  453.209790 235.459207  831.585082
    17 4000636 457.002331  452.310023 235.242424  831.773893
    18 4108629 456.745921  451.263403 234.990676  831.736597
    19 4217629 456.244755  450.857809 234.410256  832.333333
    20 4325629 456.722611  450.529138 233.736597  832.095571
    21 4433629 457.111888  450.487179 233.501166  831.897436
    22 4542629 457.247086  450.671329 233.289044  830.755245
    23 4651629 457.629371  451.006993 232.813520  829.433566
    24 4759628 457.603730  453.554779 233.114219  828.738928
    25 4868629 457.459207  461.233100 233.055944  827.682984
    26 4977629 457.261072  475.554779 232.974359  826.797203
    27 5086629 458.076923  500.734266 232.785548  827.717949
    28 5195629 460.013986  537.648019 233.142191  832.011655
    29 5304629 463.097902  586.193473 233.097902  840.764569
    30 5413629 467.776224  644.892774 232.888112  853.557110
    31 5522636 473.871795  711.335664 232.853147  872.587413
    32 5631634 482.515152  783.039627 232.780886  896.461538
    33 5738635 493.557110  855.983683 232.603730  925.710956
    34 5847629 506.487179  927.771562 232.219114  957.855478
    35 5954629 522.496503  997.480186 232.655012  991.158508
    36 6061629 539.627040 1064.020979 233.372960 1024.324009
    37 6169639 559.186480 1127.587413 234.198135 1056.587413
    38 6276629 581.058275 1188.088578 235.191142 1087.874126
    39 6384630 605.013986 1244.603730 235.358974 1117.836830
    40 6492629 630.048951 1297.878788 235.139860 1146.123543
    41 6600629 657.653147 1347.272727 235.198601 1173.029371
    42 6708629 687.320280 1393.181818 235.138462 1198.674126
    43 6815629 719.050350 1435.606061 234.959441 1223.057809
    44 6923629 752.843357 1474.545455 234.661538 1246.180420
    45 7031629 788.699301 1510.000000 234.244755 1268.041958
