Cycle	Time	FAM	HEX	ROX	CY5
     1	 2265889	489.0	507.0	316.0	825.0
     2	 2375889	491.0	506.0	319.0	828.0
     3	 2484889	488.0	510.0	317.0	830.0
     4	 2593889	491.0	512.0	318.0	834.0
     5	 2703889	486.0	508.0	317.0	837.0
     6	 2813892	488.0	511.0	320.0	835.0
     7	 2923890	486.0	508.0	316.0	838.0
     8	 3033889	480.0	509.0	318.0	835.0
     9	 3143897	480.0	507.0	319.0	840.0
    10	 3253890	477.0	512.0	320.0	836.0
    11	 3363898	480.0	508.0	316.0	838.0
    12	 3473890	479.0	505.0	317.0	832.0
    13	 3583890	478.0	509.0	311.0	832.0
    14	 3693890	476.0	509.0	314.0	833.0
    15	 3803889	477.0	507.0	313.0	836.0
    16	 3914889	478.0	509.0	318.0	833.0
    17	 4030890	477.0	507.0	316.0	835.0
    18	 4141896	477.0	506.0	316.0	832.0
    19	 4260890	480.0	512.0	315.0	830.0
    20	 4371891	477.0	511.0	315.0	838.0
    21	 4482901	477.0	509.0	313.0	837.0
    22	 4593890	480.0	508.0	314.0	831.0
    23	 4704889	476.0	508.0	314.0	835.0
    24	 4815890	474.0	508.0	314.0	831.0
    25	 4926890	478.0	514.0	319.0	834.0
    26	 5037890	479.0	514.0	316.0	833.0
    27	 5148889	480.0	515.0	317.0	835.0
    28	 5259889	482.0	513.0	315.0	840.0
    29	 5370890	479.0	514.0	318.0	850.0
    30	 5482901	479.0	513.0	316.0	866.0
    31	 5593889	479.0	513.0	317.0	889.0
    32	 5704890	479.0	514.0	318.0	925.0
    33	 5815893	482.0	512.0	317.0	980.0
    34	 5927890	483.0	518.0	320.0	1046.0
    35	 6039890	485.0	514.0	319.0	1124.0
    36	 6151899	483.0	510.0	320.0	1204.0
    37	 6263890	480.0	518.0	321.0	1269.0
    38	 6375890	480.0	510.0	313.0	1312.0
    39	 6487890	476.0	507.0	311.0	1383.0
    40	 6599894	477.0	508.0	312.0	1439.0
    41	 6711898	479.0	508.0	316.0	1472.0
    42	 6824889	476.0	506.0	311.0	1525.0
    43	 6936898	476.0	511.0	313.0	1543.0
    44	 7047890	474.0	509.0	315.0	1563.0
    45	 7159889	478.0	505.0	314.0	1600.0
