 Cycle    Time        FAM        HEX        ROX         CY5
     1 2265959 445.000000 482.251748 311.930070  811.776224
     2 2376960 440.981818 479.537063 311.372028  813.746853
     3 2486960 437.478788 477.195338 310.865268  815.614918
     4 2596960 434.490909 475.226573 310.409790  817.380420
     5 2707960 432.018182 473.630769 310.005594  819.043357
     6 2817972 430.060606 472.407925 309.652681  820.603730
     7 2928960 429.221445 472.596737 309.713287  820.825175
     8 3039961 430.006993 473.857809 309.808858  822.310023
     9 3150960 429.191142 473.205128 309.526807  824.011655
    10 3260960 427.673660 471.762238 308.916084  825.932401
    11 3370960 426.004662 469.801865 307.834499  828.519814
    12 3480959 424.773893 468.685315 306.773893  831.944056
    13 3591960 423.797203 467.060606 306.331002  834.692308
    14 3701960 422.438228 465.706294 306.333333  836.575758
    15 3811960 421.995338 465.384615 307.223776  838.361305
    16 3921968 421.254079 465.275058 307.561772  839.706294
    17 4031960 420.489510 464.878788 307.895105  841.268065
    18 4141960 419.680653 464.480186 308.384615  843.177156
    19 4251960 418.163170 464.473193 308.438228  844.601399
    20 4361960 416.913753 464.386946 308.305361  846.202797
    21 4471960 415.897436 463.783217 307.939394  847.946387
    22 4581959 415.547786 463.666667 307.086247  849.780886
    23 4691960 415.177156 463.529138 307.470862  850.867133
    24 4801960 415.741259 463.993007 308.417249  852.426573
    25 4911964 416.778555 464.526807 308.848485  853.815851
    26 5021960 417.228438 464.855478 309.067599  855.137529
    27 5131966 418.743590 465.689977 310.034965  856.517483
    28 5241960 418.743590 465.755245 310.610723  859.293706
    29 5351964 418.519814 466.076923 310.808858  864.986014
    30 5461960 419.389277 466.797203 311.272727  875.375291
    31 5571960 419.293706 466.855478 311.006993  893.170163
    32 5681960 420.417249 468.114219 310.722611  919.643357
    33 5791960 421.433566 469.349650 311.009324  957.701632
    34 5901960 423.696970 471.853147 310.797203 1004.193473
    35 6011960 428.172494 475.163170 310.442890 1057.319347
    36 6121959 434.944056 479.580420 310.536131 1113.722611
    37 6231960 445.321678 485.585082 310.780886 1169.738928
    38 6341960 457.307692 490.808858 310.585082 1222.799534
    39 6451960 472.006993 496.554779 311.123543 1269.529138
    40 6560963 488.675991 503.349650 311.531469 1308.228438
    41 6670960 505.935664 509.932867 311.696503 1340.860140
    42 6779964 524.696503 516.809790 311.791608 1367.573427
    43 6889960 544.958508 523.980420 311.816783 1388.368298
    44 6998960 566.721678 531.444755 311.772028 1403.244755
    45 7107960 589.986014 539.202797 311.657343 1412.202797
