Cycle	Time	FAM	HEX	ROX	CY5
     1	 2278766	408.0	455.0	308.0	934.0
     2	 2398766	410.0	457.0	307.0	939.0
     3	 2517767	409.0	454.0	309.0	938.0
     4	 2636766	404.0	451.0	311.0	943.0
     5	 2756779	406.0	452.0	308.0	940.0
     6	 2876766	404.0	450.0	307.0	939.0
     7	 2995784	402.0	449.0	307.0	944.0
     8	 3114776	401.0	446.0	305.0	944.0
     9	 3231766	400.0	447.0	305.0	950.0
    10	 3348771	400.0	441.0	304.0	947.0
    11	 3465780	400.0	445.0	306.0	950.0
    12	 3582766	400.0	446.0	307.0	952.0
    13	 3699766	397.0	446.0	306.0	949.0
    14	 3824777	397.0	444.0	306.0	955.0
    15	 3940775	397.0	442.0	305.0	957.0
    16	 4058768	399.0	442.0	306.0	960.0
    17	 4191766	395.0	442.0	304.0	962.0
    18	 4308767	395.0	441.0	304.0	962.0
    19	 4424766	395.0	440.0	303.0	962.0
    20	 4541766	391.0	441.0	302.0	963.0
    21	 4657766	392.0	437.0	301.0	965.0
    22	 4773766	389.0	438.0	305.0	966.0
    23	 4889766	389.0	436.0	302.0	969.0
    24	 5006766	387.0	435.0	301.0	972.0
    25	 5128775	387.0	433.0	299.0	974.0
    26	 5245766	388.0	432.0	298.0	976.0
    27	 5361766	386.0	432.0	297.0	975.0
    28	 5484766	384.0	424.0	291.0	960.0
    29	 5605766	383.0	423.0	294.0	963.0
    30	 5728766	384.0	416.0	292.0	966.0
    31	 5850766	376.0	416.0	290.0	962.0
    32	 5966766	376.0	420.0	291.0	975.0
    33	 6092766	357.0	397.0	280.0	973.0
    34	 6213766	360.0	401.0	282.0	985.0
    35	 6334766	348.0	385.0	269.0	974.0
    36	 6456766	346.0	378.0	266.0	979.0
    37	 6572766	386.0	422.0	294.0	1070.0
    38	 6691766	382.0	420.0	290.0	1072.0
    39	 6814766	381.0	417.0	290.0	1088.0
    40	 6930769	383.0	416.0	286.0	1108.0
    41	 7048766	390.0	416.0	286.0	1120.0
    42	 7171788	404.0	419.0	290.0	1156.0
    43	 7286766	411.0	421.0	286.0	1179.0
    44	 7405767	417.0	418.0	291.0	1190.0
    45	 7522766	422.0	416.0	286.0	1197.0
