 Cycle    Time        FAM        HEX        ROX         CY5
     1 2267760 474.664336 489.202797 313.839161  795.174825
     2 2379760 472.502098 488.699301 313.008392  799.088112
     3 2491760 470.640559 488.337995 312.471329  802.539860
     4 2603760 469.079720 488.118881 312.227972  805.530070
     5 2718761 467.819580 488.041958 312.278322  808.058741
     6 2830769 466.860140 488.107226 312.622378  810.125874
     7 2942769 465.927739 488.613054 313.198135  811.132867
     8 3054760 465.832168 489.272727 314.585082  812.365967
     9 3166760 465.477855 489.878788 316.198135  813.076923
    10 3278768 466.801865 490.701632 317.291375  813.641026
    11 3390760 467.365967 491.321678 317.976690  815.156177
    12 3502760 467.636364 492.163170 318.578089  815.902098
    13 3614769 468.484848 493.310023 319.009324  816.662005
    14 3726760 467.799534 494.358974 318.041958  816.930070
    15 3838760 466.631702 494.564103 317.379953  817.745921
    16 3950760 466.074592 495.174825 316.459207  818.277389
    17 4062767 465.655012 495.585082 316.039627  818.489510
    18 4174771 466.400932 496.685315 316.030303  819.317016
    19 4286765 467.592075 497.645688 315.515152  819.799534
    20 4398769 468.703963 498.652681 315.398601  820.470862
    21 4510761 469.538462 498.832168 315.596737  821.424242
    22 4622760 470.435897 498.585082 316.361305  821.843823
    23 4753760 470.899767 498.116550 315.986014  822.473193
    24 4865760 471.298368 499.151515 316.363636  823.128205
    25 4977760 470.606061 498.442890 316.787879  823.575758
    26 5090762 470.864802 498.533800 317.149184  824.477855
    27 5202761 470.622378 499.664336 317.799534  825.804196
    28 5314760 471.097902 500.018648 318.342657  828.303030
    29 5426760 471.379953 501.102564 319.079254  831.983683
    30 5538760 471.414918 501.319347 319.708625  840.107226
    31 5670760 471.431235 502.214452 320.454545  854.293706
    32 5783760 471.675991 503.743590 321.284382  875.857809
    33 5895760 472.272727 504.177156 321.004662  908.202797
    34 6008760 472.976690 505.874126 321.207459  950.065268
    35 6120760 475.473193 506.666667 322.006993 1001.736597
    36 6233760 479.722611 509.205128 322.979021 1059.496503
    37 6345760 486.599068 512.305361 323.589744 1122.405594
    38 6457760 497.216783 514.993007 323.862471 1187.219114
    39 6569760 512.918415 520.634033 325.046620 1247.643357
    40 6682760 532.118881 525.233100 325.314685 1305.759907
    41 6794760 553.861538 531.718881 325.528671 1353.774825
    42 6906768 578.925874 539.248951 325.588811 1396.710490
    43 7018760 607.311888 547.823310 325.495105 1434.566900
    44 7131760 639.019580 557.441958 325.247552 1467.344056
    45 7243760 674.048951 568.104895 324.846154 1495.041958
